Abiotrophia defectiva	46125	Bacteria	Species
Acanthamoeba astronyxis	65658	Eukarya	Species
Acanthamoeba castellanii	5755	Eukarya	Species
Acanthamoeba culbertsoni	43142	Eukarya	Species
Acanthamoeba lenticulata	29196	Eukarya	Species
Acanthamoeba lugdunensis	61605	Eukarya	Species
Acetobacter cibinongensis	146475	Bacteria	Species
Acetobacter indonesiensis	104101	Bacteria	Species
Acholeplasma oculi	35623	Bacteria	Species
Achromobacter aegrifaciens	1287736	Bacteria	Species
Achromobacter animicus	1389935	Bacteria	Species
Achromobacter anxifer	1287737	Bacteria	Species
Achromobacter denitrificans	32002	Bacteria	Species
Achromobacter dolens	1287738	Bacteria	Species
Achromobacter insolitus	217204	Bacteria	Species
Achromobacter insuavis	1287735	Bacteria	Species
Achromobacter marplatensis	470868	Bacteria	Species
Achromobacter mucicolens	1389922	Bacteria	Species
Achromobacter piechaudii	72556	Bacteria	Species
Achromobacter pulmonis	1389932	Bacteria	Species
Achromobacter ruhlandii	72557	Bacteria	Species
Achromobacter spanius	217203	Bacteria	Species
Achromobacter xylosoxidans	85698	Bacteria	Species
Acidaminococcus fermentans	905	Bacteria	Species
Acidomonas methanolica	437	Bacteria	Species
Acinetobacter baumannii	470	Bacteria	Species
Acinetobacter baylyi	202950	Bacteria	Species
Acinetobacter beijerinckii	262668	Bacteria	Species
Acinetobacter bereziniae	106648	Bacteria	Species
Acinetobacter calcoaceticus	471	Bacteria	Species
Acinetobacter guillouiae	106649	Bacteria	Species
Acinetobacter gyllenbergii	134534	Bacteria	Species
Acinetobacter haemolyticus	29430	Bacteria	Species
Acinetobacter johnsonii	40214	Bacteria	Species
Acinetobacter junii	40215	Bacteria	Species
Acinetobacter lwoffii	28090	Bacteria	Species
Acinetobacter nosocomialis	106654	Bacteria	Species
Acinetobacter parvus	134533	Bacteria	Species
Acinetobacter pittii	48296	Bacteria	Species
Acinetobacter radioresistens	40216	Bacteria	Species
Acinetobacter schindleri	108981	Bacteria	Species
Acinetobacter seifertii	1530123	Bacteria	Species
Acinetobacter septicus	465797	Bacteria	Species
Acinetobacter ursingii	108980	Bacteria	Species
Acinetobacter variabilis	70346	Bacteria	Species
Actinobacillus equuli	718	Bacteria	Species
Actinobacillus hominis	719	Bacteria	Species
Actinobacillus lignieresii	720	Bacteria	Species
Actinobacillus pleuropneumoniae	715	Bacteria	Species
Actinobacillus suis	716	Bacteria	Species
Actinobacillus ureae	723	Bacteria	Species
Actinobaculum massiliense	202789	Bacteria	Species
Actinomadura chibensis	392828	Bacteria	Species
Actinomadura madurae	1993	Bacteria	Species
Actinomadura mexicana	134959	Bacteria	Species
Actinomadura meyerae	240840	Bacteria	Species
Actinomadura pelletieri	111805	Bacteria	Species
Actinomadura sputi	589159	Bacteria	Species
Actinomyces bovis	1658	Bacteria	Species
Actinomyces dentalis	272548	Bacteria	Species
Actinomyces gerencseriae	52769	Bacteria	Species
Actinomyces graevenitzii	55565	Bacteria	Species
Actinomyces israelii	1659	Bacteria	Species
Actinomyces johnsonii	544581	Bacteria	Species
Actinomyces massiliensis	461393	Bacteria	Species
Actinomyces naeslundii	1655	Bacteria	Species
Actinomyces oricola	206043	Bacteria	Species
Actinomyces oris	544580	Bacteria	Species
Actinomyces radicidentis	111015	Bacteria	Species
Actinomyces timonensis	1288391	Bacteria	Species
Actinomyces urinae	1689268	Bacteria	Species
Actinomyces urogenitalis	103621	Bacteria	Species
Actinomyces viscosus	1656	Bacteria	Species
Actinotignum sanguinis	1445614	Bacteria	Species
Actinotignum schaalii	59505	Bacteria	Species
Actinotignum urinale	190146	Bacteria	Species
